ray_x                  ray_y                    Time                     abs_prob
0.06                     0.145                    6.000000000000001E-9     0.7579922029484621
0.06                     0.155                    6.000000000000001E-9     0.7656170364472211
0.06                     0.165                    6.000000000000001E-9     0.7738471448239758
0.06                     0.175                    6.000000000000001E-9     0.7742432178234968
0.06                     0.185                    6.000000000000001E-9     0.770544129627288
0.06                     0.195                    6.000000000000001E-9     0.7688346937308876
0.06                     0.205                    6.000000000000001E-9     0.7652026009265106
0.06                     0.215                    6.000000000000001E-9     0.7537507573889558
0.06                     0.225                    6.000000000000001E-9     0.6693233422812436
0.06                     0.235                    5.0E-9                   0.6238311284628583
0.07                     -0.235                   5.0E-9                   0.5947092582240905
0.07                     -0.225                   4.500000000000001E-9     0.6504687542347157
0.07                     -0.215                   6.000000000000001E-9     0.7433939328343601
0.07                     -0.205                   6.000000000000001E-9     0.7632078705031794
0.07                     -0.195                   6.000000000000001E-9     0.7701689772210861
0.07                     -0.185                   6.000000000000001E-9     0.7751970358322149
0.07                     -0.175                   6.000000000000001E-9     0.7599813000838557
0.07                     -0.165                   6.000000000000001E-9     0.7701818157577668
0.07                     -0.155                   6.000000000000001E-9     0.7617372000767718
0.07                     -0.145                   6.000000000000001E-9     0.7625754607855831
0.07                     -0.135                   6.000000000000001E-9     0.7462634296611516
0.07                     -0.125                   4.500000000000001E-9     0.6649568401885442
0.07                     -0.115                   3.5000000000000003E-9    0.625810785126168
0.07                     -0.105                   3.0000000000000004E-9    0.617234195870529
0.07                     -0.095                   2.0E-9                   0.5910134803067958
0.07                     -0.085                   2.5E-9                   0.5920371461831
0.07                     -0.075                   6.000000000000001E-9     0.642193337049855
0.07                     -0.065                   6.000000000000001E-9     0.7140669490871702
0.07                     -0.055                   6.000000000000001E-9     0.755209866401368
0.07                     -0.045                   6.000000000000001E-9     0.7582299662085026
0.07                     -0.035                   6.000000000000001E-9     0.7635490763836557
0.07                     -0.025                   6.000000000000001E-9     0.7595322516595797
0.07                     -0.015                   6.000000000000001E-9     0.7598474560982479
0.07                     -0.005                   6.000000000000001E-9     0.759934743919147
0.07                     0.005                    6.000000000000001E-9     0.7587820133590614
0.07                     0.015                    6.000000000000001E-9     0.7587882599852729
0.07                     0.025                    6.000000000000001E-9     0.7589116368494787
0.07                     0.035                    6.000000000000001E-9     0.7596975588941175
0.07                     0.045                    6.000000000000001E-9     0.7657004877351352
0.07                     0.055                    6.000000000000001E-9     0.7549524255897679
0.07                     0.065                    6.000000000000001E-9     0.7203467347636502
0.07                     0.075                    6.000000000000001E-9     0.635401130195396
0.07                     0.085                    4.0E-9                   0.5896895339932798
0.07                     0.095                    2.0E-9                   0.5912913198819455
0.07                     0.105                    3.5000000000000003E-9    0.6039661679094539
0.07                     0.115                    3.5000000000000003E-9    0.6236259439229579
0.07                     0.125                    4.500000000000001E-9     0.667366601862852
0.07                     0.135                    6.000000000000001E-9     0.7421069442600607
0.07                     0.145                    6.000000000000001E-9     0.7598188403782499
0.07                     0.155                    6.000000000000001E-9     0.7660898565242455
0.07                     0.165                    6.000000000000001E-9     0.7700593417627619
0.07                     0.175                    6.000000000000001E-9     0.7741869842577406
0.07                     0.185                    6.000000000000001E-9     0.7744719722216131
0.07                     0.195                    6.000000000000001E-9     0.7782488982721715
0.07                     0.205                    6.000000000000001E-9     0.7638186267741879
0.07                     0.215                    6.000000000000001E-9     0.7535586435565663
0.07                     0.225                    5.0E-9                   0.6491355456118595
0.07                     0.235                    5.5000000000000004E-9    0.5948771984188206
0.08                     -0.235                   4.500000000000001E-9     0.4933160223556108
0.08                     -0.225                   4.500000000000001E-9     0.6587564889407126
0.08                     -0.215                   6.000000000000001E-9     0.7245770570391292
0.08                     -0.205                   6.000000000000001E-9     0.7601635862650906
0.08                     -0.195                   6.000000000000001E-9     0.7598821199594842
0.08                     -0.185                   6.000000000000001E-9     0.777091597380626
0.08                     -0.175                   6.000000000000001E-9     0.7701212548133985
0.08                     -0.165                   6.000000000000001E-9     0.766866037947811
0.08                     -0.155                   6.000000000000001E-9     0.7572645796085296
0.08                     -0.145                   6.000000000000001E-9     0.7591973206189009
0.08                     -0.135                   6.000000000000001E-9     0.7564358085722785
0.08                     -0.125                   5.0E-9                   0.7209558134192189
0.08                     -0.115                   5.0E-9                   0.642726318094713
0.08                     -0.105                   4.0E-9                   0.6249825428179933
0.08                     -0.095                   3.5000000000000003E-9    0.6048330097363777
0.08                     -0.085                   2.0E-9                   0.59625833344016
0.08                     -0.075                   6.000000000000001E-9     0.5935134398713989
0.08                     -0.065                   6.000000000000001E-9     0.6363397411418746
0.08                     -0.055                   6.000000000000001E-9     0.6967381029313824
0.08                     -0.045                   6.000000000000001E-9     0.7537084360847766
0.08                     -0.035                   6.000000000000001E-9     0.7627422002615769
0.08                     -0.025                   6.000000000000001E-9     0.7609263983680233
0.08                     -0.015                   6.000000000000001E-9     0.7603252466631765
0.08                     -0.005                   6.000000000000001E-9     0.761409652652494
0.08                     0.005                    6.000000000000001E-9     0.7596857717439554
0.08                     0.015                    6.000000000000001E-9     0.7596440920443785
0.08                     0.025                    6.000000000000001E-9     0.7597306555151913
0.08                     0.035                    6.000000000000001E-9     0.758489150401219
0.08                     0.045                    6.000000000000001E-9     0.7538557623342701
0.08                     0.055                    6.000000000000001E-9     0.6991227219526046
